Sample,Target,Num.of.Replicates,Cq.Mean,Cq.SD,Result.Quality.Issues
sample3_2_SC,GAPDH,3,17.57895241,0.106002279,NA
sample3_3_N,GAPDH,3,19.03597958,0.061253226,NA
sample3_3_SC,GAPDH,3,17.80628714,0.077865406,NA
sample3_4_SC,GAPDH,3,20.55883445,0.186913005,NA
sample3_5_SC,GAPDH,2,17.08395367,0.035224292,NA
sample1_1_N,ISL1,3,24.3482374,0.075735521,NA
sample1_1_SC,ISL1,3,31.17641329,0.189187324,NA
sample1_2_N,ISL1,3,20.553572,0.033102308,NA
sample1_2_SC,ISL1,3,31.88839982,0.243138674,NA
sample1_3_N,ISL1,3,21.85597087,0.088096627,NA
sample1_3_SC,ISL1,3,30.90295682,0.065013582,NA
sample1_4_SC,ISL1,3,32.77081658,0.18586028,NA
sample2_1_N,ISL1,3,20.56622994,0.0474685,NA
sample2_1_SC,ISL1,3,27.65892604,0.125484749,NA
sample2_2_N,ISL1,3,20.167845,0.087941021,NA
sample2_2_SC,ISL1,3,28.6671186,0.046834115,NA
sample2_3_N,ISL1,3,23.90334334,0.040442439,NA
sample2_4_N,ISL1,3,23.0609849,NA,NA
sample2_3_SC,ISL1,3,29.50162368,0.073987689,NA
sample2_4_SC,ISL1,3,29.1203916,0.065834907,NA
sample3_1_N,ISL1,3,25.20126498,0.280855665,NA
sample3_1_SC,ISL1,3,31.02153,0.122721781,NA
sample3_2_N,ISL1,3,23.29690701,0.070223744,NA
sample3_2_SC,ISL1,3,31.55052888,0.25720152,NA
sample3_3_N,ISL1,3,25.85166948,0.107972481,NA
sample3_3_SC,ISL1,3,29.81983655,0.139599369,NA
sample3_4_SC,ISL1,3,29.88943131,0.157257858,NA
sample1_1_N,PPIA,3,29.03523383,0.138748132,NA
sample1_1_SC,PPIA,3,27.61399528,0.124783721,NA
sample1_2_N,PPIA,3,25.07446783,0.168287764,NA
sample1_2_SC,PPIA,3,27.45404883,0.051589337,NA
sample1_3_N,PPIA,3,26.1310919,0.196625796,NA
sample1_3_SC,PPIA,3,26.56972243,0.236412016,NA
sample1_4_SC,PPIA,3,29.53879234,0.386861913,NA
sample1_5_SC,PPIA,2,27.49546919,0.05572827,NA
sample2_1_N,PPIA,3,26.10353775,0.040944803,NA
sample2_1_SC,PPIA,3,28.00794378,0.131910862,NA
sample2_2_N,PPIA,3,25.38460603,0.148356587,NA
sample2_2_SC,PPIA,3,27.16531365,0.089225472,NA
sample2_3_N,PPIA,3,29.19169089,0.346051294,NA
sample2_4_N,PPIA,3,27.07530589,NA,NA
sample2_3_SC,PPIA,3,27.24706932,0.166737179,NA
sample2_4_SC,PPIA,3,26.90306172,0.187689302,NA
sample2_5_SC,PPIA,3,28.71893338,0.081374841,NA
sample3_1_N,PPIA,3,27.06712761,0.176418888,NA
sample3_1_SC,PPIA,3,27.04366088,0.337083298,NA
sample3_2_N,PPIA,3,26.79350294,0.147997919,NA
sample3_2_SC,PPIA,3,26.78241337,0.079384284,NA
sample3_3_N,PPIA,3,27.88514619,0.105927499,NA
sample3_3_SC,PPIA,3,27.04319387,0.154036093,NA
sample3_4_SC,PPIA,3,29.09170408,0.302917,NA
sample3_5_SC,PPIA,3,27.10007217,0.200029066,NA
